id_corrida,fecha,dia_semana,horario_salida,ruta,terminal_origen,tipo_unidad,capacidad,pasajeros,ocupacion_pct,precio_boleto,ingresos_totales,temporada
ADO-00197,2024-08-07,Wednesday,06:00,CDMX-Cuernavaca,TAPO,ADO GL,48,26.0,54.2,220.0,5720.0,Alta
ADO-00987,06-03-2024,Wednesday,07:00,CDMX-Puebla,Poniente,ADO GL,48,47.0,97.9,280.0,13160.0,Baja
ADO-01091,12-07-2024,Friday,18:00,CDMX-cuernavaca,Observatorio,ADO GL,48,37.0,77.1,220.0,8140.0,Alta
ADO-00388,2024-03-19,Tuesday,18:00,CDMX - Pachuca,Norte,ADO GL,48,48.0,100.0,190.0,9120.0,Baja
ADO-02222,13-06-2024,Thursday,13:00,CDMX-Tlaxcala,Sur,Primera Plus,36,20.0,55.6,228.0,4560.0,Baja
ADO-00169,2024-12-10,Tuesday,18:00,CDMX-Queretaro,TAPO,ADO GL,48,36.0,75.0,304.0,10944.0,Alta
ADO-01379,21/07/2024,Sunday,17:00,CDMX - Pachuca,Sur,OCC,42,38.0,90.5,190.0,7220.0,Alta
ADO-02463,2024-04-14,Sunday,11:00,CDMX - Pachuca,TAPO,ADO GL,48,43.0,89.6,190.0,8170.0,Baja
ADO-00706,2024-12-16,Monday,07:00,CDMX - Pachuca,Sur,Primera Plus,36,31.0,86.1,180.5,,Alta
ADO-02077,2024/04/13,Saturday,07:00,CDMX-Queretaro,Norte,OCC,42,42.0,100.0,352.0,14784.0,Baja
ADO-01849,2024-03-13,Wednesday,21:00,CDMX-Toluca,TAPO,Primera Plus,36,27.0,75.0,198.0,5346.0,Baja
ADO-01412,2024/09/30,Monday,21:00,CDMX-Pachuca,Norte,Ejecutivo,24,17.0,70.8,190.0,3230.0,Baja
ADO-00431,2024-02-14,Wednesday,09:00,CDMX - Toluca,Poniente,Primera Plus,36,23.0,63.9,171.0,3933.0,Baja
ADO-02148,2024-12-23,Monday,22:00,CDMX-Puebla,Poniente,Ejecutivo,24,13.0,54.2,280.0,3640.0,Alta
ADO-02493,2024-05-19,Sunday,12:00,CDMX-cuernavaca,Observatorio,OCC,42,,78.6,220.0,7260.0,Baja
ADO-01620,2024-07-30,Tuesday,21:00,cdmx - puebla,Poniente,Ejecutivo,24,18.0,75.0,266.0,4788.0,Alta
ADO-00862,2024-11-04,Monday,16:00,CDMX-Queretaro,TAPO,Ejecutivo,24,11.0,45.8,320.0,3520.0,Baja
ADO-00283,2024-10-22,Tuesday,12:00,CDMX-Queretaro,Observatorio,OCC,42,35.0,83.3,304.0,10640.0,Baja
ADO-01514,07-07-2024,Sunday,08:00,cdmx-queretaro,Poniente,ADO GL,48,37.0,77.1,352.0,13024.0,Alta
ADO-00650,10/08/2024,Saturday,08:00,CDMX-Pachuca,TAPO,Primera Plus,36,36.0,100.0,209.0,7524.0,Alta
ADO-01076,28/01/2024,Sunday,21:00,cdmx - puebla,Poniente,Ejecutivo,24,18.0,75.0,308.0,5544.0,Alta
ADO-01356,03-02-2024,Saturday,14:00,CDMX-Pachuca,TAPO,ADO GL,48,25.0,52.1,190.0,4750.0,Baja
ADO-01383,04/05/2024,Saturday,07:00,CDMX - Toluca,TAPO,ADO GL,48,48.0,100.0,171.0,8208.0,Baja
ADO-01088,2024-10-30,Wednesday,08:00,cdmx - puebla,TAPO,ADO GL,48,39.0,81.2,280.0,,Baja
ADO-02143,2024-09-02,Monday,09:00,CDMX-Tlaxcala,Norte,Ejecutivo,24,19.0,79.2,288.0,5472.0,Baja
ADO-01217,2024-10-28,Monday,22:00,CDMX-Cuernavaca,Norte,OCC,42,23.0,54.8,264.0,6072.0,Baja
ADO-00938,09-08-2024,Friday,14:00,CDMX-cuernavaca,Norte,ADO GL,48,35.0,72.9,220.0,7700.0,Alta
ADO-00057,2024-03-20,Wednesday,11:00,CDMX-Querétaro,Sur,Primera Plus,36,19.0,52.8,320.0,6080.0,Baja
ADO-00932,2024-02-13,Tuesday,10:00,CDMX - Puebla,Sur,OCC,42,36.0,85.7,308.0,11088.0,Baja
ADO-00980,2024-11-11,Monday,20:00,CDMX-Tlaxcala,TAPO,Ejecutivo,24,,70.8,228.0,3876.0,Baja
ADO-00644,2024/05/03,Friday,13:00,CDMX-Pachuca,Norte,Ejecutivo,24,11.0,45.8,209.0,2299.0,Baja
ADO-02437,2024-12-27,Friday,19:00,CDMX-Toluca,Norte,Primera Plus,36,28.0,77.8,171.0,4788.0,Alta
ADO-00045,2024-03-08,Friday,15:00,CDMX-Pachuca,Norte,OCC,42,19.0,45.2,190.0,3610.0,Baja
ADO-01463,2024-08-07,Wednesday,13:00,CDMX-Cuernavaca,TAPO,ADO GL,48,29.0,60.4,220.0,6380.0,Alta
ADO-01201,2024/09/21,Saturday,08:00,cdmx - puebla,Norte,ADO GL,48,48.0,100.0,308.0,14784.0,Baja
ADO-01778,2024-06-29,Saturday,07:00,CDMX-Cuernavaca,Norte,Primera Plus,36,35.0,97.2,220.0,7700.0,Baja
ADO-00354,11-07-2024,Thursday,21:00,CDMX - Puebla,Poniente,Primera Plus,36,22.0,61.1,280.0,6160.0,Alta
ADO-01927,24/07/2024,Wednesday,07:00,CDMX-Toluca,Sur,ADO GL,48,23.0,47.9,180.0,4140.0,Alta
ADO-00458,2024-04-06,Saturday,18:00,CDMX - Pachuca,TAPO,ADO GL,48,42.0,87.5,190.0,,Baja
ADO-00176,2024/11/26,Tuesday,07:00,cdmx-queretaro,Norte,OCC,42,37.0,88.1,320.0,11840.0,Baja
ADO-00766,2024-04-21,Sunday,19:00,cdmx-queretaro,Sur,ADO GL,48,43.0,89.6,320.0,13760.0,Baja
ADO-02151,16/12/2024,Monday,22:00,CDMX-Toluca,Observatorio,Primera Plus,36,22.0,61.1,180.0,3960.0,Alta
ADO-00480,2024-07-07,Sunday,15:00,CDMX-Querétaro,Observatorio,ADO GL,48,47.0,97.9,320.0,15040.0,Alta
ADO-01568,2024-03-23,Saturday,22:00,CDMX-Cuernavaca,Sur,ADO GL,48,43.0,89.6,220.0,9460.0,Baja
ADO-01318,06-04-2024,Saturday,19:00,CDMX-Toluca,Sur,Primera Plus,36,34.0,94.4,198.0,6732.0,Baja
ADO-01638,2024-04-29,Monday,08:00,CDMX-Cuernavaca,Norte,OCC,42,35.0,83.3,264.0,9240.0,Baja
ADO-02185,2024-06-06,Thursday,18:00,CDMX-Querétaro,Sur,Primera Plus,36,19.0,52.8,320.0,6080.0,Baja
ADO-00809,2024-07-20,Saturday,22:00,CDMX - Toluca,Poniente,Ejecutivo,24,24.0,100.0,198.0,4752.0,Alta
ADO-01566,01/09/2024,Sunday,07:00,CDMX-cuernavaca,Poniente,ADO GL,48,59.800000000000004,95.8,220.0,10120.0,Baja
ADO-00044,2024-09-24,Tuesday,14:00,cdmx-queretaro,Norte,Primera Plus,36,22.0,61.1,320.0,7040.0,Baja
ADO-00451,22/02/2024,Thursday,17:00,cdmx-queretaro,Poniente,ADO GL,48,38.0,79.2,352.0,,Baja
ADO-00782,2024-09-28,Saturday,20:00,CDMX - Puebla,Norte,ADO GL,48,33.0,68.8,336.0,11088.0,Baja
ADO-00325,2024-03-09,Saturday,20:00,CDMX-Cuernavaca,Poniente,ADO GL,48,35.0,72.9,220.0,7700.0,Baja
ADO-00840,2024-08-28,Wednesday,17:00,CDMX - Pachuca,Sur,Primera Plus,36,27.0,75.0,209.0,5643.0,Alta
ADO-00757,05/01/2024,Friday,21:00,CDMX - Pachuca,Norte,OCC,42,29.0,69.0,190.0,5510.0,Alta
ADO-00974,2024-08-18,Sunday,13:00,CDMX-Toluca,Observatorio,Primera Plus,36,27.0,75.0,171.0,4617.0,Alta
ADO-02298,2024-03-25,Monday,16:00,CDMX-Puebla,Observatorio,Primera Plus,36,29.0,80.6,280.0,8120.0,Baja
ADO-00510,2024-10-15,Tuesday,21:00,CDMX-Querétaro,Poniente,ADO GL,48,26.0,54.2,352.0,9152.0,Baja
ADO-00611,12/09/2024,Thursday,16:00,CDMX - Toluca,Sur,Ejecutivo,24,17.0,70.8,171.0,2907.0,Baja
ADO-00621,09/08/2024,Friday,21:00,CDMX-cuernavaca,Observatorio,Primera Plus,36,19.0,52.8,220.0,4180.0,Alta
ADO-02022,04/12/2024,Wednesday,22:00,CDMX-Queretaro,TAPO,ADO GL,48,32.0,66.7,320.0,10240.0,Alta
ADO-02059,10-11-2024,Sunday,09:00,CDMX-Pachuca,Sur,OCC,42,42.0,100.0,180.5,7581.0,Baja
ADO-01377,2024-09-03,Tuesday,16:00,cdmx - puebla,Sur,Primera Plus,36,20.0,55.6,280.0,5600.0,Baja
ADO-00679,21-01-2024,Sunday,16:00,CDMX-Pachuca,Observatorio,Ejecutivo,24,23.0,95.8,180.5,4151.5,Alta
ADO-01358,2024-02-18,Sunday,16:00,CDMX-cuernavaca,Poniente,OCC,42,37.0,88.1,220.0,,Baja
ADO-01232,2024-03-02,Saturday,11:00,CDMX-Pachuca,Norte,Ejecutivo,24,16.0,66.7,190.0,3040.0,Baja
ADO-02429,2024-01-27,Saturday,21:00,CDMX-Puebla,TAPO,Primera Plus,36,35.0,97.2,280.0,9800.0,Alta
ADO-02091,2024-06-17,Monday,14:00,CDMX-Toluca,TAPO,ADO GL,48,33.0,68.8,180.0,5940.0,Baja
ADO-00737,2024-09-12,Thursday,22:00,CDMX - Puebla,Sur,ADO GL,48,32.0,66.7,280.0,8960.0,Baja
ADO-00531,2024-02-14,Wednesday,21:00,CDMX-Queretaro,TAPO,Primera Plus,36,26.0,72.2,320.0,8320.0,Baja
ADO-02485,2024-10-08,Tuesday,08:00,CDMX-Tlaxcala,Observatorio,ADO GL,48,35.0,72.9,228.0,7980.0,Baja
ADO-00481,2024/10/29,Tuesday,12:00,CDMX - Toluca,Poniente,Primera Plus,36,22.0,61.1,180.0,3960.0,Baja
ADO-01132,2024-11-03,Sunday,15:00,CDMX-Querétaro,Sur,Primera Plus,36,32.0,88.9,320.0,10240.0,Baja
ADO-02381,2024-05-08,Wednesday,22:00,cdmx - puebla,Sur,ADO GL,48,25.0,52.1,280.0,7000.0,Baja
ADO-00970,2024-07-08,Monday,11:00,CDMX-Cuernavaca,Poniente,OCC,42,20.0,47.6,264.0,5280.0,Alta
ADO-02033,2024-01-04,Thursday,18:00,CDMX-cuernavaca,TAPO,Ejecutivo,24,20.0,83.3,220.0,4400.0,Alta
ADO-01400,2024-11-08,Friday,17:00,CDMX-Puebla,TAPO,ADO GL,48,,70.8,280.0,9520.0,Baja
ADO-00802,2024-03-20,Wednesday,14:00,CDMX - Puebla,Observatorio,ADO GL,48,28.0,58.3,280.0,7840.0,Baja
ADO-00189,2024-10-09,Wednesday,12:00,CDMX - Pachuca,Sur,OCC,42,23.0,54.8,190.0,4370.0,Baja
ADO-01821,2024-11-08,Friday,11:00,CDMX-Querétaro,Sur,Ejecutivo,24,15.0,62.5,304.0,4560.0,Baja
ADO-02131,2024-05-09,Thursday,08:00,CDMX - Toluca,Norte,Primera Plus,36,30.0,83.3,198.0,5940.0,Baja
ADO-02329,2024/04/10,Wednesday,17:00,CDMX - Toluca,Sur,ADO GL,48,42.0,87.5,180.0,7560.0,Baja
ADO-01972,2024-11-06,Wednesday,06:00,CDMX-Pachuca,Sur,,42,12.0,28.6,180.5,2166.0,Baja
ADO-00252,2024-06-22,Saturday,11:00,CDMX-Pachuca,Sur,OCC,42,40.0,95.2,180.5,7220.0,Baja
ADO-00260,2024-12-04,Wednesday,15:00,CDMX-Queretaro,Observatorio,OCC,42,31.0,73.8,304.0,9424.0,Alta
ADO-01303,2024-11-26,Tuesday,22:00,CDMX-Tlaxcala,Sur,ADO GL,48,30.0,62.5,288.0,8640.0,Baja
ADO-01678,2024-05-28,Tuesday,22:00,CDMX-Querétaro,Poniente,Primera Plus,36,29.0,80.6,320.0,9280.0,Baja
ADO-01762,2024-04-24,Wednesday,18:00,CDMX-Querétaro,Sur,Primera Plus,36,32.0,88.9,384.0,,Baja
