id_corrida,fecha,dia_semana,horario_salida,ruta,terminal_origen,tipo_unidad,capacidad,pasajeros,ocupacion_pct,precio_boleto,ingresos_totales,temporada,anio,mes,mes_nombre,dia_num,es_fin_semana
ADO-00197,2024-08-07,Wednesday,06:00,CDMX-CUERNAVACA,TAPO,ADO GL,48,26.0,54.2,220.0,5720.0,Alta,2024,8,August,2,0
ADO-00987,2024-03-06,Wednesday,07:00,CDMX-PUEBLA,Poniente,ADO GL,48,47.0,97.9,280.0,13160.0,Baja,2024,3,March,2,0
ADO-01091,2024-07-12,Friday,18:00,CDMX-CUERNAVACA,Observatorio,ADO GL,48,37.0,77.1,220.0,8140.0,Alta,2024,7,July,4,0
ADO-00388,2024-03-19,Tuesday,18:00,CDMX-PACHUCA,Norte,ADO GL,48,48.0,100.0,190.0,9120.0,Baja,2024,3,March,1,0
ADO-02222,2024-06-13,Thursday,13:00,CDMX-TLAXCALA,Sur,Primera Plus,36,20.0,55.6,228.0,4560.0,Baja,2024,6,June,3,0
ADO-00169,2024-12-10,Tuesday,18:00,CDMX-QUERÉTARO,TAPO,ADO GL,48,36.0,75.0,304.0,10944.0,Alta,2024,12,December,1,0
ADO-01379,2024-07-21,Sunday,17:00,CDMX-PACHUCA,Sur,OCC,42,38.0,90.5,190.0,7220.0,Alta,2024,7,July,6,1
ADO-02463,2024-04-14,Sunday,11:00,CDMX-PACHUCA,TAPO,ADO GL,48,43.0,89.6,190.0,8170.0,Baja,2024,4,April,6,1
ADO-00706,2024-12-16,Monday,07:00,CDMX-PACHUCA,Sur,Primera Plus,36,31.0,86.1,180.5,5595.5,Alta,2024,12,December,0,0
ADO-02077,2024-04-13,Saturday,07:00,CDMX-QUERÉTARO,Norte,OCC,42,42.0,100.0,352.0,14784.0,Baja,2024,4,April,5,1
ADO-01849,2024-03-13,Wednesday,21:00,CDMX-TOLUCA,TAPO,Primera Plus,36,27.0,75.0,198.0,5346.0,Baja,2024,3,March,2,0
ADO-01412,2024-09-30,Monday,21:00,CDMX-PACHUCA,Norte,Ejecutivo,24,17.0,70.8,190.0,3230.0,Baja,2024,9,September,0,0
ADO-00431,2024-02-14,Wednesday,09:00,CDMX-TOLUCA,Poniente,Primera Plus,36,23.0,63.9,171.0,3933.0,Baja,2024,2,February,2,0
ADO-02148,2024-12-23,Monday,22:00,CDMX-PUEBLA,Poniente,Ejecutivo,24,13.0,54.2,280.0,3640.0,Alta,2024,12,December,0,0
ADO-02493,2024-05-19,Sunday,12:00,CDMX-CUERNAVACA,Observatorio,OCC,42,28.0,78.6,220.0,7260.0,Baja,2024,5,May,6,1
ADO-01620,2024-07-30,Tuesday,21:00,CDMX-PUEBLA,Poniente,Ejecutivo,24,18.0,75.0,266.0,4788.0,Alta,2024,7,July,1,0
ADO-00862,2024-11-04,Monday,16:00,CDMX-QUERÉTARO,TAPO,Ejecutivo,24,11.0,45.8,320.0,3520.0,Baja,2024,11,November,0,0
ADO-00283,2024-10-22,Tuesday,12:00,CDMX-QUERÉTARO,Observatorio,OCC,42,35.0,83.3,304.0,10640.0,Baja,2024,10,October,1,0
ADO-01514,2024-07-07,Sunday,08:00,CDMX-QUERÉTARO,Poniente,ADO GL,48,37.0,77.1,352.0,13024.0,Alta,2024,7,July,6,1
ADO-00650,2024-08-10,Saturday,08:00,CDMX-PACHUCA,TAPO,Primera Plus,36,36.0,100.0,209.0,7524.0,Alta,2024,8,August,5,1
ADO-01076,2024-01-28,Sunday,21:00,CDMX-PUEBLA,Poniente,Ejecutivo,24,18.0,75.0,308.0,5544.0,Alta,2024,1,January,6,1
ADO-01356,2024-02-03,Saturday,14:00,CDMX-PACHUCA,TAPO,ADO GL,48,25.0,52.1,190.0,4750.0,Baja,2024,2,February,5,1
ADO-01383,2024-05-04,Saturday,07:00,CDMX-TOLUCA,TAPO,ADO GL,48,48.0,100.0,171.0,8208.0,Baja,2024,5,May,5,1
ADO-01088,2024-10-30,Wednesday,08:00,CDMX-PUEBLA,TAPO,ADO GL,48,39.0,81.2,280.0,10920.0,Baja,2024,10,October,2,0
ADO-02143,2024-09-02,Monday,09:00,CDMX-TLAXCALA,Norte,Ejecutivo,24,19.0,79.2,288.0,5472.0,Baja,2024,9,September,0,0
ADO-01217,2024-10-28,Monday,22:00,CDMX-CUERNAVACA,Norte,OCC,42,23.0,54.8,264.0,6072.0,Baja,2024,10,October,0,0
ADO-00938,2024-08-09,Friday,14:00,CDMX-CUERNAVACA,Norte,ADO GL,48,35.0,72.9,220.0,7700.0,Alta,2024,8,August,4,0
ADO-00057,2024-03-20,Wednesday,11:00,CDMX-QUERÉTARO,Sur,Primera Plus,36,19.0,52.8,320.0,6080.0,Baja,2024,3,March,2,0
ADO-00932,2024-02-13,Tuesday,10:00,CDMX-PUEBLA,Sur,OCC,42,36.0,85.7,308.0,11088.0,Baja,2024,2,February,1,0
ADO-00980,2024-11-11,Monday,20:00,CDMX-TLAXCALA,TAPO,Ejecutivo,24,28.0,70.8,228.0,3876.0,Baja,2024,11,November,0,0
ADO-00644,2024-05-03,Friday,13:00,CDMX-PACHUCA,Norte,Ejecutivo,24,11.0,45.8,209.0,2299.0,Baja,2024,5,May,4,0
ADO-02437,2024-12-27,Friday,19:00,CDMX-TOLUCA,Norte,Primera Plus,36,28.0,77.8,171.0,4788.0,Alta,2024,12,December,4,0
ADO-00045,2024-03-08,Friday,15:00,CDMX-PACHUCA,Norte,OCC,42,19.0,45.2,190.0,3610.0,Baja,2024,3,March,4,0
ADO-01463,2024-08-07,Wednesday,13:00,CDMX-CUERNAVACA,TAPO,ADO GL,48,29.0,60.4,220.0,6380.0,Alta,2024,8,August,2,0
ADO-01201,2024-09-21,Saturday,08:00,CDMX-PUEBLA,Norte,ADO GL,48,48.0,100.0,308.0,14784.0,Baja,2024,9,September,5,1
ADO-01778,2024-06-29,Saturday,07:00,CDMX-CUERNAVACA,Norte,Primera Plus,36,35.0,97.2,220.0,7700.0,Baja,2024,6,June,5,1
ADO-00354,2024-07-11,Thursday,21:00,CDMX-PUEBLA,Poniente,Primera Plus,36,22.0,61.1,280.0,6160.0,Alta,2024,7,July,3,0
ADO-01927,2024-07-24,Wednesday,07:00,CDMX-TOLUCA,Sur,ADO GL,48,23.0,47.9,180.0,4140.0,Alta,2024,7,July,2,0
ADO-00458,2024-04-06,Saturday,18:00,CDMX-PACHUCA,TAPO,ADO GL,48,42.0,87.5,190.0,7980.0,Baja,2024,4,April,5,1
ADO-00176,2024-11-26,Tuesday,07:00,CDMX-QUERÉTARO,Norte,OCC,42,37.0,88.1,320.0,11840.0,Baja,2024,11,November,1,0
ADO-00766,2024-04-21,Sunday,19:00,CDMX-QUERÉTARO,Sur,ADO GL,48,43.0,89.6,320.0,13760.0,Baja,2024,4,April,6,1
ADO-02151,2024-12-16,Monday,22:00,CDMX-TOLUCA,Observatorio,Primera Plus,36,22.0,61.1,180.0,3960.0,Alta,2024,12,December,0,0
ADO-00480,2024-07-07,Sunday,15:00,CDMX-QUERÉTARO,Observatorio,ADO GL,48,47.0,97.9,320.0,15040.0,Alta,2024,7,July,6,1
ADO-01568,2024-03-23,Saturday,22:00,CDMX-CUERNAVACA,Sur,ADO GL,48,43.0,89.6,220.0,9460.0,Baja,2024,3,March,5,1
ADO-01318,2024-04-06,Saturday,19:00,CDMX-TOLUCA,Sur,Primera Plus,36,34.0,94.4,198.0,6732.0,Baja,2024,4,April,5,1
ADO-01638,2024-04-29,Monday,08:00,CDMX-CUERNAVACA,Norte,OCC,42,35.0,83.3,264.0,9240.0,Baja,2024,4,April,0,0
ADO-02185,2024-06-06,Thursday,18:00,CDMX-QUERÉTARO,Sur,Primera Plus,36,19.0,52.8,320.0,6080.0,Baja,2024,6,June,3,0
ADO-00809,2024-07-20,Saturday,22:00,CDMX-TOLUCA,Poniente,Ejecutivo,24,24.0,100.0,198.0,4752.0,Alta,2024,7,July,5,1
ADO-00044,2024-09-24,Tuesday,14:00,CDMX-QUERÉTARO,Norte,Primera Plus,36,22.0,61.1,320.0,7040.0,Baja,2024,9,September,1,0
ADO-00451,2024-02-22,Thursday,17:00,CDMX-QUERÉTARO,Poniente,ADO GL,48,38.0,79.2,352.0,13376.0,Baja,2024,2,February,3,0
ADO-00782,2024-09-28,Saturday,20:00,CDMX-PUEBLA,Norte,ADO GL,48,33.0,68.8,336.0,11088.0,Baja,2024,9,September,5,1
ADO-00325,2024-03-09,Saturday,20:00,CDMX-CUERNAVACA,Poniente,ADO GL,48,35.0,72.9,220.0,7700.0,Baja,2024,3,March,5,1
ADO-00840,2024-08-28,Wednesday,17:00,CDMX-PACHUCA,Sur,Primera Plus,36,27.0,75.0,209.0,5643.0,Alta,2024,8,August,2,0
ADO-00757,2024-01-05,Friday,21:00,CDMX-PACHUCA,Norte,OCC,42,29.0,69.0,190.0,5510.0,Alta,2024,1,January,4,0
ADO-00974,2024-08-18,Sunday,13:00,CDMX-TOLUCA,Observatorio,Primera Plus,36,27.0,75.0,171.0,4617.0,Alta,2024,8,August,6,1
ADO-02298,2024-03-25,Monday,16:00,CDMX-PUEBLA,Observatorio,Primera Plus,36,29.0,80.6,280.0,8120.0,Baja,2024,3,March,0,0
ADO-00510,2024-10-15,Tuesday,21:00,CDMX-QUERÉTARO,Poniente,ADO GL,48,26.0,54.2,352.0,9152.0,Baja,2024,10,October,1,0
ADO-00611,2024-09-12,Thursday,16:00,CDMX-TOLUCA,Sur,Ejecutivo,24,17.0,70.8,171.0,2907.0,Baja,2024,9,September,3,0
ADO-00621,2024-08-09,Friday,21:00,CDMX-CUERNAVACA,Observatorio,Primera Plus,36,19.0,52.8,220.0,4180.0,Alta,2024,8,August,4,0
ADO-02022,2024-12-04,Wednesday,22:00,CDMX-QUERÉTARO,TAPO,ADO GL,48,32.0,66.7,320.0,10240.0,Alta,2024,12,December,2,0
ADO-02059,2024-11-10,Sunday,09:00,CDMX-PACHUCA,Sur,OCC,42,42.0,100.0,180.5,7581.0,Baja,2024,11,November,6,1
ADO-01377,2024-09-03,Tuesday,16:00,CDMX-PUEBLA,Sur,Primera Plus,36,20.0,55.6,280.0,5600.0,Baja,2024,9,September,1,0
ADO-00679,2024-01-21,Sunday,16:00,CDMX-PACHUCA,Observatorio,Ejecutivo,24,23.0,95.8,180.5,4151.5,Alta,2024,1,January,6,1
ADO-01358,2024-02-18,Sunday,16:00,CDMX-CUERNAVACA,Poniente,OCC,42,37.0,88.1,220.0,8140.0,Baja,2024,2,February,6,1
ADO-01232,2024-03-02,Saturday,11:00,CDMX-PACHUCA,Norte,Ejecutivo,24,16.0,66.7,190.0,3040.0,Baja,2024,3,March,5,1
ADO-02429,2024-01-27,Saturday,21:00,CDMX-PUEBLA,TAPO,Primera Plus,36,35.0,97.2,280.0,9800.0,Alta,2024,1,January,5,1
ADO-02091,2024-06-17,Monday,14:00,CDMX-TOLUCA,TAPO,ADO GL,48,33.0,68.8,180.0,5940.0,Baja,2024,6,June,0,0
ADO-00531,2024-02-14,Wednesday,21:00,CDMX-QUERÉTARO,TAPO,Primera Plus,36,26.0,72.2,320.0,8320.0,Baja,2024,2,February,2,0
ADO-02485,2024-10-08,Tuesday,08:00,CDMX-TLAXCALA,Observatorio,ADO GL,48,35.0,72.9,228.0,7980.0,Baja,2024,10,October,1,0
ADO-00481,2024-10-29,Tuesday,12:00,CDMX-TOLUCA,Poniente,Primera Plus,36,22.0,61.1,180.0,3960.0,Baja,2024,10,October,1,0
ADO-01132,2024-11-03,Sunday,15:00,CDMX-QUERÉTARO,Sur,Primera Plus,36,32.0,88.9,320.0,10240.0,Baja,2024,11,November,6,1
ADO-02381,2024-05-08,Wednesday,22:00,CDMX-PUEBLA,Sur,ADO GL,48,25.0,52.1,280.0,7000.0,Baja,2024,5,May,2,0
ADO-00970,2024-07-08,Monday,11:00,CDMX-CUERNAVACA,Poniente,OCC,42,20.0,47.6,264.0,5280.0,Alta,2024,7,July,0,0
ADO-02033,2024-01-04,Thursday,18:00,CDMX-CUERNAVACA,TAPO,Ejecutivo,24,20.0,83.3,220.0,4400.0,Alta,2024,1,January,3,0
ADO-01400,2024-11-08,Friday,17:00,CDMX-PUEBLA,TAPO,ADO GL,48,28.0,70.8,280.0,9520.0,Baja,2024,11,November,4,0
ADO-00802,2024-03-20,Wednesday,14:00,CDMX-PUEBLA,Observatorio,ADO GL,48,28.0,58.3,280.0,7840.0,Baja,2024,3,March,2,0
ADO-00189,2024-10-09,Wednesday,12:00,CDMX-PACHUCA,Sur,OCC,42,23.0,54.8,190.0,4370.0,Baja,2024,10,October,2,0
ADO-01821,2024-11-08,Friday,11:00,CDMX-QUERÉTARO,Sur,Ejecutivo,24,15.0,62.5,304.0,4560.0,Baja,2024,11,November,4,0
ADO-02131,2024-05-09,Thursday,08:00,CDMX-TOLUCA,Norte,Primera Plus,36,30.0,83.3,198.0,5940.0,Baja,2024,5,May,3,0
ADO-02329,2024-04-10,Wednesday,17:00,CDMX-TOLUCA,Sur,ADO GL,48,42.0,87.5,180.0,7560.0,Baja,2024,4,April,2,0
ADO-01972,2024-11-06,Wednesday,06:00,CDMX-PACHUCA,Sur,,42,12.0,28.6,180.5,2166.0,Baja,2024,11,November,2,0
ADO-00252,2024-06-22,Saturday,11:00,CDMX-PACHUCA,Sur,OCC,42,40.0,95.2,180.5,7220.0,Baja,2024,6,June,5,1
ADO-00260,2024-12-04,Wednesday,15:00,CDMX-QUERÉTARO,Observatorio,OCC,42,31.0,73.8,304.0,9424.0,Alta,2024,12,December,2,0
ADO-01303,2024-11-26,Tuesday,22:00,CDMX-TLAXCALA,Sur,ADO GL,48,30.0,62.5,288.0,8640.0,Baja,2024,11,November,1,0
ADO-01678,2024-05-28,Tuesday,22:00,CDMX-QUERÉTARO,Poniente,Primera Plus,36,29.0,80.6,320.0,9280.0,Baja,2024,5,May,1,0
ADO-01762,2024-04-24,Wednesday,18:00,CDMX-QUERÉTARO,Sur,Primera Plus,36,32.0,88.9,384.0,12288.0,Baja,2024,4,April,2,0
ADO-02118,2024-12-25,Wednesday,10:00,CDMX-QUERÉTARO,Observatorio,Ejecutivo,24,12.0,50.0,304.0,3648.0,Alta,2024,12,December,2,0
ADO-00441,2024-07-02,Tuesday,18:00,CDMX-PUEBLA,Sur,Primera Plus,36,30.0,83.3,280.0,8400.0,Alta,2024,7,July,1,0
ADO-01533,2024-04-24,Wednesday,15:00,CDMX-PUEBLA,TAPO,ADO GL,48,33.0,68.8,336.0,11088.0,Baja,2024,4,April,2,0
ADO-00219,2024-08-24,Saturday,07:00,CDMX-TOLUCA,Norte,Ejecutivo,24,22.0,91.7,180.0,3960.0,Alta,2024,8,August,5,1
ADO-01079,2024-09-15,Sunday,16:00,CDMX-QUERÉTARO,TAPO,Ejecutivo,24,27.0,100.0,352.0,8448.0,Baja,2024,9,September,6,1
ADO-01115,2024-06-06,Thursday,07:00,CDMX-PUEBLA,Poniente,Ejecutivo,24,19.0,79.2,280.0,5320.0,Baja,2024,6,June,3,0
ADO-01793,2024-05-13,Monday,15:00,CDMX-TLAXCALA,Norte,ADO GL,48,30.0,62.5,240.0,7200.0,Baja,2024,5,May,0,0
ADO-02479,2024-02-24,Saturday,15:00,CDMX-PUEBLA,Norte,Primera Plus,36,24.0,66.7,308.0,7392.0,Baja,2024,2,February,5,1
ADO-01407,2024-03-14,Thursday,22:00,CDMX-CUERNAVACA,Poniente,Ejecutivo,24,11.0,45.8,242.0,2662.0,Baja,2024,3,March,3,0
ADO-01062,2024-02-20,Tuesday,22:00,CDMX-QUERÉTARO,Norte,OCC,42,12.0,28.6,304.0,3648.0,Baja,2024,2,February,1,0
ADO-01725,2024-03-22,Friday,09:00,CDMX-QUERÉTARO,Sur,,24,16.0,66.7,304.0,4864.0,Baja,2024,3,March,4,0
ADO-02070,2024-07-06,Saturday,06:00,CDMX-TOLUCA,TAPO,Primera Plus,36,34.0,94.4,180.0,6120.0,Alta,2024,7,July,5,1
ADO-00901,2024-02-24,Saturday,08:00,CDMX-QUERÉTARO,Observatorio,ADO GL,48,48.0,100.0,352.0,16896.0,Baja,2024,2,February,5,1
ADO-00094,2024-05-02,Thursday,21:00,CDMX-PUEBLA,Observatorio,Ejecutivo,24,14.0,58.3,280.0,3920.0,Baja,2024,5,May,3,0
ADO-02156,2024-07-24,Wednesday,10:00,CDMX-PUEBLA,Observatorio,Primera Plus,36,20.0,55.6,280.0,5600.0,Alta,2024,7,July,2,0
ADO-01799,2024-06-21,Friday,09:00,CDMX-CUERNAVACA,TAPO,Ejecutivo,24,22.0,91.7,209.0,4598.0,Baja,2024,6,June,4,0
ADO-02017,2024-10-30,Wednesday,07:00,CDMX-TOLUCA,Sur,OCC,42,32.0,76.2,180.0,5760.0,Baja,2024,10,October,2,0
ADO-02352,2024-05-29,Wednesday,13:00,CDMX-PACHUCA,Observatorio,Primera Plus,36,26.0,72.2,180.5,4693.0,Baja,2024,5,May,2,0
ADO-02013,2024-03-12,Tuesday,14:00,CDMX-TOLUCA,Poniente,Ejecutivo,24,13.0,54.2,180.0,2340.0,Baja,2024,3,March,1,0
ADO-01310,2024-07-14,Sunday,11:00,CDMX-PUEBLA,Poniente,OCC,42,38.0,90.5,280.0,10640.0,Alta,2024,7,July,6,1
